Price,Adj Close,Close,High,Low,Open,Volume
Ticker,8368.T,8368.T,8368.T,8368.T,8368.T,8368.T
Date,,,,,,
2013-01-04,307.7481689453125,401.0,405.0,392.0,398.0,369000
2013-01-07,303.14349365234375,395.0,409.0,393.0,408.0,248000
2013-01-08,301.608642578125,393.0,404.0,391.0,395.0,350000
2013-01-09,306.9808349609375,400.0,403.0,391.0,394.0,399000
2013-01-10,308.5157165527344,402.0,413.0,397.0,400.0,589000
2013-01-11,310.8179931640625,405.0,413.0,403.0,409.0,358000
2013-01-15,312.3529052734375,407.0,412.0,405.0,408.0,386000
2013-01-16,309.2831726074219,403.0,411.0,402.0,406.0,449000
2013-01-17,309.2831726074219,403.0,410.0,393.0,404.0,545000
2013-01-18,310.8179931640625,405.0,406.0,398.0,403.0,463000
2013-01-21,303.91094970703125,396.0,403.0,395.0,402.0,346000
2013-01-22,298.538818359375,389.0,399.0,385.0,397.0,445000
2013-01-23,297.7713623046875,388.0,390.0,383.0,386.0,336000
2013-01-24,297.7713623046875,388.0,388.0,377.0,382.0,372000
2013-01-25,303.14349365234375,395.0,398.0,388.0,391.0,440000
2013-01-28,298.538818359375,389.0,399.0,389.0,396.0,327000
2013-01-29,301.608642578125,393.0,396.0,388.0,388.0,324000
2013-01-30,303.91094970703125,396.0,400.0,392.0,394.0,299000
2013-01-31,303.91094970703125,396.0,399.0,390.0,396.0,377000
2013-02-01,307.7481689453125,401.0,403.0,396.0,396.0,448000
2013-02-04,306.2134094238281,399.0,405.0,399.0,401.0,309000
2013-02-05,300.8412170410156,392.0,400.0,391.0,396.0,266000
2013-02-06,307.7481689453125,401.0,406.0,393.0,396.0,428000
2013-02-07,303.14349365234375,395.0,403.0,394.0,399.0,308000
2013-02-08,298.538818359375,389.0,393.0,386.0,392.0,364000
2013-02-12,305.44586181640625,398.0,410.0,397.0,398.0,469000
2013-02-13,301.608642578125,393.0,399.0,391.0,394.0,389000
2013-02-14,300.07373046875,391.0,395.0,386.0,392.0,427000
2013-02-15,295.468994140625,385.0,391.0,378.0,390.0,443000
2013-02-18,307.7481689453125,401.0,401.0,390.0,390.0,522000
2013-02-19,306.9808349609375,400.0,403.0,398.0,403.0,305000
2013-02-20,309.2831726074219,403.0,407.0,400.0,400.0,323000
2013-02-21,307.7481689453125,401.0,406.0,400.0,402.0,347000
2013-02-22,306.2134094238281,399.0,402.0,391.0,400.0,335000
2013-02-25,310.0505676269531,404.0,413.0,404.0,405.0,468000
2013-02-26,306.9808349609375,400.0,404.0,398.0,401.0,422000
2013-02-27,303.91094970703125,396.0,401.0,391.0,397.0,400000
2013-02-28,314.6552429199219,410.0,410.0,397.0,398.0,501000
2013-03-01,320.0274963378906,417.0,418.0,402.0,402.0,441000
2013-03-04,328.46942138671875,428.0,431.0,405.0,418.0,642000
2013-03-05,328.46942138671875,428.0,443.0,428.0,429.0,433000
2013-03-06,339.98126220703125,443.0,445.0,438.0,439.0,385000
2013-03-07,336.1440124511719,438.0,443.0,434.0,442.0,327000
2013-03-08,338.44635009765625,441.0,443.0,438.0,439.0,610000
2013-03-11,352.260498046875,459.0,461.0,447.0,447.0,450000
2013-03-12,353.0279235839844,460.0,466.0,456.0,462.0,688000
2013-03-13,342.28363037109375,446.0,458.0,446.0,453.0,317000
2013-03-14,349.19061279296875,455.0,456.0,446.0,448.0,352000
2013-03-15,349.19061279296875,455.0,461.0,450.0,459.0,797000
2013-03-18,343.8185729980469,448.0,453.0,443.0,453.0,417000
2013-03-19,351.4930725097656,458.0,460.0,449.0,449.0,275000
2013-03-21,360.7024230957031,470.0,473.0,458.0,458.0,422000
2013-03-22,354.5628356933594,462.0,475.0,461.0,468.0,379000
2013-03-25,358.4001159667969,467.0,472.0,463.0,471.0,406000
2013-03-26,360.7024230957031,470.0,473.0,457.0,457.0,489000
2013-03-27,363.0245666503906,469.0,469.0,463.0,463.0,264000
2013-03-28,366.1206970214844,473.0,473.0,458.0,470.0,386000
2013-03-29,363.0245666503906,469.0,476.0,467.0,472.0,348000
2013-04-01,343.67352294921875,444.0,467.0,444.0,467.0,430000
2013-04-02,341.3514099121094,441.0,448.0,428.0,439.0,408000
2013-04-03,345.9957275390625,447.0,448.0,435.0,435.0,402000
2013-04-04,361.4764404296875,467.0,468.0,436.0,445.0,461000
2013-04-05,379.2793884277344,490.0,505.0,484.0,490.0,860000
2013-04-08,387.7937927246094,501.0,512.0,485.0,498.0,911000
2013-04-09,383.9236145019531,496.0,508.0,493.0,502.0,518000
2013-04-10,386.2457275390625,499.0,502.0,493.0,498.0,472000
2013-04-11,385.4716796875,498.0,514.0,493.0,503.0,570000
2013-04-12,382.3755187988281,494.0,500.0,489.0,494.0,335000
2013-04-15,375.4091796875,485.0,493.0,482.0,493.0,293000
2013-04-16,370.7649841308594,479.0,484.0,474.0,477.0,472000
2013-04-17,378.50537109375,489.0,492.0,479.0,481.0,337000
2013-04-18,366.8946838378906,474.0,488.0,474.0,488.0,563000
